section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row (3),tooltip-row (5),tooltip-row (7),tooltip-row (9),readonly (7),readonly (8),status-bold,status-bold (2),readonly (9),meeting (2),meeting (3),meeting (4),meeting (5),readonly (10),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),ui-state-default (16),tooltip-row (27),tooltip-row (29),tooltip-row (37),tooltip-row (39),ui-pillbox-summary (5),ui-state-default (29),ui-state-default (30),ui-state-default (31),ui-state-default (32),ui-state-default (33),ui-state-default (34),meeting (21),meeting (22),meeting (23),meeting (24),meeting (25),tooltip-row (41),tooltip-row (42),tooltip-row (43),tooltip-row (44),tooltip-row (45),tooltip-row (46),tooltip-row (47),tooltip-row (48),tooltip-row (49),tooltip-row (50),tooltip-row (57),tooltip-row (59),ui-pillbox-summary (7),ui-state-default (43),ui-state-default (44),ui-state-default (45),ui-state-default (46),ui-state-default (47),ui-state-default (48),meeting (31),meeting (32),meeting (33),meeting (34),meeting (35),tooltip-row (61),tooltip-row (62),tooltip-row (63),tooltip-row (64),tooltip-row (65),tooltip-row (66),tooltip-row (67),tooltip-row (68),tooltip-row (69),tooltip-row (70),ui-pillbox-summary (8),ui-state-default (50),ui-state-default (51),ui-state-default (52),ui-state-default (53),ui-state-default (54),ui-state-default (55),meeting (36),meeting (37),meeting (38),meeting (39),meeting (40),tooltip-row (71),tooltip-row (72),tooltip-row (73),tooltip-row (74),tooltip-row (75),tooltip-row (76),tooltip-row (77),tooltip-row (78),tooltip-row (79),tooltip-row (80),readonly (11),readonly (12),status-full,status-waitlist
Principles of Auditing,Lecture,Accounting - CPS,3330,01,3,40268,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,17 of 30 seats remain.,17,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principles of Auditing,Lecture,Accounting - CPS,3330,02,3,40269,Tuesday,M,W,T,F,S,T,05:50 PM - 08:20 PM,Building: 89 Broad Street,Room: 211,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,20 of 26 seats remain.,20,,CPS-Programs-UG,05,50,08,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principles of Taxation,Lecture,Accounting - CPS,3410,02,3,40241,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"13 of 30 seats remain.
10 of 10 waitlist seats remain.",13,10,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principles of Taxation,Lecture,Accounting - CPS,3410,03,3,40270,Wednesday,M,T,T,F,S,W,05:50 PM - 08:20 PM,Building: Shillman Hall,Room: 420,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,20 of 30 seats remain.,20,,CPS-Programs-UG,05,50,08,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Statement Analysis,Lecture,Accounting - CPS,4320,02,3,40175,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"10 of 20 seats remain.
10 of 10 waitlist seats remain.",10,10,NUpath Writing Intensive,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Statement Analysis,Lecture,Accounting - CPS,4320,03,3,40123,Wednesday,M,T,T,F,S,W,05:50 PM - 08:20 PM,Building: Ryder Hall,Room: 267,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"13 of 20 seats remain.
10 of 10 waitlist seats remain.",13,10,NUpath Writing Intensive,05,50,08,20,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Taxation,Lecture,Accounting - CPS,4410,01,3,40130,Wednesday,M,T,T,F,S,W,02:50 PM - 05:20 PM,Building: Ell Hall,Room: 411,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"11 of 20 seats remain.
10 of 10 waitlist seats remain.",11,10,CPS-Programs-UG,02,50,05,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Accounting,Lecture,Accounting - CPS,4420,01,3,40294,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,23 of 30 seats remain.,23,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundamentals of Manufacturing Systems,Lecture,Adv Manufacturing System - CPS,1150,01,3,40478,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"19 of 30 seats remain.
10 of 10 waitlist seats remain.",19,10,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Materials Performance and Applications,Lecture,Adv Manufacturing System - CPS,2250,01,3,40378,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"17 of 30 seats remain.
10 of 10 waitlist seats remain.",17,10,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Materials Processing,Lecture,Adv Manufacturing System - CPS,3000,01,3,40379,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"21 of 30 seats remain.
10 of 10 waitlist seats remain.",21,10,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nondestructive Testing,Lecture,Adv Manufacturing System - CPS,3100,01,3,40313,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"23 of 30 seats remain.
10 of 10 waitlist seats remain.",23,10,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability Theory and Introductory Statistics,Lecture,Analytics - CPS,2010,01,3,40209,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"21 of 30 seats remain.
10 of 10 waitlist seats remain.",21,10,Hybrid NUflex Section,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability Theory and Introductory Statistics,Lecture,Analytics - CPS,2010,02,3,40474,Tuesday,M,W,T,F,S,T,05:50 PM - 08:20 PM,Building: Hastings Suite,Room: 111,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"13 of 24 seats remain.
10 of 10 waitlist seats remain.",13,10,CPS-Programs-UG,05,50,08,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Statistics for Data Analytics,Lecture,Analytics - CPS,3015,01,3,40315,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"15 of 30 seats remain.
10 of 10 waitlist seats remain.",15,10,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Mining,Lecture,Analytics - CPS,3040,04,3,40508,Monday,T,W,T,F,S,M,05:50 PM - 08:20 PM,Building: Richards Hall,Room: 225,Start Date: 01/06/2025,End Date: 01/06/2025,Boston,"23 of 30 seats remain.
10 of 10 waitlist seats remain.",23,10,CPS-Programs-UG,05,50,08,20,,Monday,S,M,T,W,T,F,05:50 PM - 08:20 PM,05,50,08,20,Type: Class,Type:,Building: Richards Hall,Building:,Room: 225,Room:,Start Date: 01/27/2025,Start Date:,End Date: 01/27/2025,End Date:,M,Start Date: 02/10/2025,End Date: 02/10/2025,Start Date: 02/24/2025,End Date: 02/24/2025,Monday,S,M,T,W,T,F,05:50 PM - 08:20 PM,05,50,08,20,Type: Class,Type:,Building: Richards Hall,Building:,Room: 225,Room:,Start Date: 03/10/2025,Start Date:,End Date: 03/10/2025,End Date:,Start Date: 03/24/2025,End Date: 03/24/2025,Monday,S,M,T,W,T,F,05:50 PM - 08:20 PM,05,50,08,20,Type: Class,Type:,Building: Richards Hall,Building:,Room: 225,Room:,Start Date: 04/07/2025,Start Date:,End Date: 04/07/2025,End Date:,Monday,S,M,T,W,T,F,05:50 PM - 08:20 PM,05,50,08,20,Type: Class,Type:,Building: Richards Hall,Building:,Room: 225,Room:,Start Date: 04/21/2025,Start Date:,End Date: 04/21/2025,End Date:,,,,
Communication and Visualization for Data Analytics,Lecture,Analytics - CPS,3070,03,3,40476,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"26 of 30 seats remain.
10 of 10 waitlist seats remain.",26,10,Low Enrollment,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data and Web Mining,Lecture,Analytics - CPS,3110,01,3,40282,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"25 of 30 seats remain.
10 of 10 waitlist seats remain.",25,10,Low Enrollment,,,,,NUpath Analyzing/Using Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPS-Programs-UG,,,
Big Data and Web Mining,Lecture,Analytics - CPS,3110,03,3,40477,Monday,T,W,T,F,S,M,05:50 PM - 08:20 PM,Building: Richards Hall,Room: 228,Start Date: 01/06/2025,End Date: 01/06/2025,Boston,"24 of 30 seats remain.
10 of 10 waitlist seats remain.",24,10,NUpath Analyzing/Using Data,05,50,08,20,CPS-Programs-UG,Monday,S,M,T,W,T,F,05:50 PM - 08:20 PM,05,50,08,20,Type: Class,Type:,Building: Richards Hall,Building:,Room: 228,Room:,Start Date: 01/27/2025,Start Date:,End Date: 01/27/2025,End Date:,M,Start Date: 02/10/2025,End Date: 02/10/2025,Start Date: 02/24/2025,End Date: 02/24/2025,Monday,S,M,T,W,T,F,05:50 PM - 08:20 PM,05,50,08,20,Type: Class,Type:,Building: Richards Hall,Building:,Room: 228,Room:,Start Date: 03/10/2025,Start Date:,End Date: 03/10/2025,End Date:,Start Date: 03/24/2025,End Date: 03/24/2025,Monday,S,M,T,W,T,F,05:50 PM - 08:20 PM,05,50,08,20,Type: Class,Type:,Building: Richards Hall,Building:,Room: 228,Room:,Start Date: 04/07/2025,Start Date:,End Date: 04/07/2025,End Date:,,,,,,,,,,,,,,,,,,,,,,,,,,
Analytics Using R,Lecture,Analytics - CPS,4000,01,3,40391,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"27 of 30 seats remain.
10 of 10 waitlist seats remain.",27,10,Low Enrollment,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analytics Using R,Lecture,Analytics - CPS,4000,02,3,40432,Wednesday,M,T,T,F,S,W,05:50 PM - 08:20 PM,Building: Kariotis Hall,Room: 308,Start Date: 01/22/2025,End Date: 01/22/2025,Boston,"4 of 5 seats remain.
5 of 5 waitlist seats remain.",4,5,Low Enrollment,05,50,08,20,CPS-Programs-UG,Wednesday,S,W,M,T,T,F,05:50 PM - 08:20 PM,05,50,08,20,Type: Class,Type:,Building: Kariotis Hall,Building:,Room: 308,Room:,Start Date: 02/05/2025,Start Date:,End Date: 02/05/2025,End Date:,W,Start Date: 02/19/2025,End Date: 02/19/2025,Start Date: 03/12/2025,End Date: 03/12/2025,Wednesday,S,W,M,T,T,F,05:50 PM - 08:20 PM,05,50,08,20,Type: Class,Type:,Building: Kariotis Hall,Building:,Room: 308,Room:,Start Date: 03/26/2025,Start Date:,End Date: 03/26/2025,End Date:,Start Date: 04/09/2025,End Date: 04/09/2025,Wednesday,S,W,M,T,T,F,05:50 PM - 08:20 PM,05,50,08,20,Type: Class,Type:,Building: Kariotis Hall,Building:,Room: 308,Room:,Start Date: 04/23/2025,Start Date:,End Date: 04/23/2025,End Date:,Wednesday,S,W,M,T,T,F,05:50 PM - 08:20 PM,05,50,08,20,Type: Class,Type:,Building: Kariotis Hall,Building:,Room: 308,Room:,Start Date: 01/08/2025,Start Date:,End Date: 01/08/2025,End Date:,,,,
Predictive Analytics Using R and Python,Lecture,Analytics - CPS,4020,01,3,40392,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"27 of 30 seats remain.
10 of 10 waitlist seats remain.",27,10,Low Enrollment,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analytics Capstone,Lecture,Analytics - CPS,4850,01,3,40393,Tuesday,M,W,T,F,S,T,05:50 PM - 08:20 PM,Building: Ryder Hall,Room: 266,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"15 of 19 seats remain.
10 of 10 waitlist seats remain.",15,10,Low Enrollment,05,50,08,20,NUpath Capstone Experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NUpath Writing Intensive,CPS-Programs-UG,,
Digital Photography,Lecture,Art - CPS,1200,01,3,40005,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/25/2025,Online,"13 of 30 seats remain.
3 of 3 waitlist seats remain.",13,3,NUpath Creative Express/Innov,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital Photography,Lecture,Art - CPS,1200,03,3,40218,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 02/26/2025,End Date: 04/26/2025,Online,"8 of 30 seats remain.
4 of 4 waitlist seats remain.",8,4,NUpath Creative Express/Innov,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundation in Visual Communication,Lecture,Art - CPS,2100,01,3,40185,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,,FULL,,NUpath Creative Express/Innov,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL: 0 of 30 seats remain.,
Fundamentals of Graphics and Publishing Production,Lecture,Art - CPS,2200,02,3,40360,Wednesday,M,T,T,F,S,W,02:50 PM - 05:20 PM,Building: Cahners Hall,Room: 001,Start Date: 02/26/2025,End Date: 04/26/2025,Boston,20 of 25 seats remain.,20,,CPS-Programs-UG,02,50,05,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bioinformatics Programming,Lecture,Bioinformatics,6200,01,4,40510,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,,FULL,,GS College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL: 0 of 1 seats remain.,
Cell and Gene Therapies,Lecture,Biology,5821,01,4,40470,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,,FULL,,GS College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL: 0 of 3 seats remain.,
Medical Terminology,Lecture,Biology - CPS,1050,01,3,40117,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"10 of 30 seats remain.
5 of 5 waitlist seats remain.",10,5,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principles of Biology 1,Lecture,Biology - CPS,1100,01,3,40002,Tuesday,M,W,T,F,S,T,05:50 PM - 08:20 PM,Building: Ryder Hall,Room: 394,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"8 of 21 seats remain.
5 of 5 waitlist seats remain.",8,5,NUpath Natural/Designed World,05,50,08,20,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principles of Biology 1,Lecture,Biology - CPS,1100,04,3,40243,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"19 of 30 seats remain.
5 of 5 waitlist seats remain.",19,5,NUpath Natural/Designed World,,,,,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for BIO 1100,Lab,Biology - CPS,1101,01,1,40003,Tuesday,M,W,T,F,S,T,08:30 PM - 09:20 PM,Building: Behrakis Health Sciences Cntr,Room: 615,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"8 of 24 seats remain.
10 of 10 waitlist seats remain.",8,10,CPS-Undergraduate Labs,08,30,09,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
