section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row,tooltip-row (2),tooltip-row (3),tooltip-row (4),tooltip-row (5),tooltip-row (6),tooltip-row (7),tooltip-row (8),tooltip-row (9),tooltip-row (10),readonly (7),readonly (8),status-bold,status-bold (2),readonly (9),meeting (2),meeting (3),meeting (4),meeting (5),readonly (10),readonly (11),readonly (12),status-full,status-waitlist
Business Operations and Supply Chain,Lecture,Adv Manufacturing System - CPS,3500,01,3,20179,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"29 of 30 seats remain.
10 of 10 waitlist seats remain.",29,10,Lowell Institute School,,,,,,,,,
Hydraulics and Pneumatics,Lecture,Adv Manufacturing System - CPS,4250,01,3,20204,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"27 of 30 seats remain.
10 of 10 waitlist seats remain.",27,10,Low Enrollment,,,,,Lowell Institute School,,,,
Probability Theory and Introductory Statistics,Lecture,Analytics - CPS,2010,01,3,20118,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"22 of 30 seats remain.
10 of 10 waitlist seats remain.",22,10,CPS-Programs-UG,,,,,,,,,
Introduction to Programming for Data Analytics,Lecture,Analytics - CPS,2100,01,3,20197,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"14 of 30 seats remain.
10 of 10 waitlist seats remain.",14,10,CPS-Programs-UG,,,,,,,,,
Generative AI,Lecture,Analytics - CPS,2983,01,3,20335,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"28 of 30 seats remain.
10 of 10 waitlist seats remain.",28,10,Lowell Institute School,,,,,Topics Course,,,,
Intermediate Statistics for Data Analytics,Lecture,Analytics - CPS,3015,01,3,20310,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"23 of 30 seats remain.
10 of 10 waitlist seats remain.",23,10,CPS-Programs-UG,,,,,,,,,
Data Mining,Lecture,Analytics - CPS,3040,01,3,20263,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"25 of 30 seats remain.
10 of 10 waitlist seats remain.",25,10,Low Enrollment,,,,,CPS-Programs-UG,,,,
Analytics Capstone,Lecture,Analytics - CPS,4850,01,3,20286,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"29 of 30 seats remain.
10 of 10 waitlist seats remain.",29,10,Low Enrollment,,,,,NUpath Capstone Experience,NUpath Writing Intensive,CPS-Programs-UG,,
MLOps and AI,Lecture,Analytics - CPS,4983,01,3,20332,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"27 of 30 seats remain.
10 of 10 waitlist seats remain.",27,10,Lowell Institute School,,,,,Topics Course,,,,
Digital Photography,Lecture,Art - CPS,1200,01,3,20137,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/24/2025,End Date:,Online,"15 of 30 seats remain.
5 of 5 waitlist seats remain.",15,5,NUpath Creative Express/Innov,,,,,CPS-Programs-UG,,,,
Digital Photography,Lecture,Art - CPS,1200,02,3,20144,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/25/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"27 of 30 seats remain.
5 of 5 waitlist seats remain.",27,5,NUpath Creative Express/Innov,,,,,CPS-Programs-UG,,,,
Typography: Communicating Content with Form,Lecture,Art - CPS,2000,01,3,20244,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/25/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"22 of 30 seats remain.
5 of 5 waitlist seats remain.",22,5,NUpath Creative Express/Innov,,,,,CPS-Programs-UG,,,,
Foundation in Visual Communication,Lecture,Art - CPS,2100,01,3,20067,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/24/2025,End Date:,Online,"19 of 30 seats remain.
10 of 10 waitlist seats remain.",19,10,NUpath Creative Express/Innov,,,,,CPS-Programs-UG,,,,
Principles of Biology 1,Lecture,Biology - CPS,1100,01,3,20004,Wednesday,S,M,T,T,F,W,S,05:50 PM - 08:20 PM,Type: Class,Type:,Building: Forsyth Building,Building:,Room: 128,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"16 of 24 seats remain.
5 of 5 waitlist seats remain.",16,5,NUpath Natural/Designed World,05,50,08,20,Lowell Institute School,,,,
Principles of Biology 1,Lecture,Biology - CPS,1100,04,3,20164,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"22 of 30 seats remain.
5 of 5 waitlist seats remain.",22,5,NUpath Natural/Designed World,,,,,Lowell Institute School,,,,
Lab for BIO 1100,Lab,Biology - CPS,1101,01,1,20005,Wednesday,S,M,T,T,F,W,S,08:30 PM - 10:00 PM,Type: Class,Type:,Building: Forsyth Building,Building:,Room: 128,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"16 of 24 seats remain.
5 of 5 waitlist seats remain.",16,5,CPS-Undergraduate Labs,08,30,10,00,,,,,
Lab for BIO 1100,Lab,Biology - CPS,1101,04,1,20165,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"23 of 30 seats remain.
5 of 5 waitlist seats remain.",23,5,CPS-Undergraduate Labs,,,,,,,,,
Principles of Biology 2,Lecture,Biology - CPS,1200,01,3,20006,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"21 of 24 seats remain.
5 of 5 waitlist seats remain.",21,5,NUpath Natural/Designed World,,,,,Lowell Institute School,,,,
Principles of Biology 2,Lecture,Biology - CPS,1200,03,3,20110,Thursday,S,M,T,W,F,T,S,05:50 PM - 08:20 PM,Type: Class,Type:,Building: Richards Hall,Building:,Room: 235,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"12 of 24 seats remain.
5 of 5 waitlist seats remain.",12,5,NUpath Natural/Designed World,05,50,08,20,Lowell Institute School,,,,
Lab for BIO 1200,Lab,Biology - CPS,1201,01,1,20007,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"22 of 24 seats remain.
5 of 5 waitlist seats remain.",22,5,CPS-Undergraduate Labs,,,,,,,,,
Lab for BIO 1200,Lab,Biology - CPS,1201,03,1,20111,Thursday,S,M,T,W,F,T,S,08:30 PM - 10:00 PM,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 615,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"12 of 24 seats remain.
5 of 5 waitlist seats remain.",12,5,CPS-Undergraduate Labs,08,30,10,00,,,,,
Human Anatomy and Physiology 1,Lecture,Biology - CPS,1600,01,3,20008,Tuesday,S,M,W,T,F,T,S,05:50 PM - 08:35 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 454,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/24/2025,End Date:,Boston,"19 of 24 seats remain.
5 of 5 waitlist seats remain.",19,5,NUpath Natural/Designed World,05,50,08,35,Lowell Institute School,,,,
Lab for BIO 1600,Lab,Biology - CPS,1601,01,1,20009,Tuesday,S,M,W,T,F,T,S,08:50 PM - 10:20 PM,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 720,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/24/2025,End Date:,Boston,"19 of 24 seats remain.
5 of 5 waitlist seats remain.",19,5,CPS-Undergraduate Labs,08,50,10,20,,,,,
Human Anatomy and Physiology 2,Lecture,Biology - CPS,1700,02,3,20159,Tuesday,S,M,W,T,F,T,S,05:50 PM - 08:35 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 452,Room:,Start Date: 06/25/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"14 of 24 seats remain.
5 of 5 waitlist seats remain.",14,5,NUpath Natural/Designed World,05,50,08,35,Lowell Institute School,,,,
Lab for BIO 1700,Lab,Biology - CPS,1701,02,1,20160,Tuesday,S,M,W,T,F,T,S,08:50 PM - 10:20 PM,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 720,Room:,Start Date: 06/25/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"15 of 24 seats remain.
5 of 5 waitlist seats remain.",15,5,CPS-Undergraduate Labs,08,50,10,20,,,,,
Microbiology,Lecture,Biology - CPS,2100,02,3,20185,Wednesday,S,M,T,T,F,W,S,05:50 PM - 08:20 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 452,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"16 of 24 seats remain.
5 of 5 waitlist seats remain.",16,5,Lowell Institute School,05,50,08,20,,,,,
Lab for BIO 2100,Lab,Biology - CPS,2101,03,1,20287,Wednesday,S,M,T,T,F,W,S,08:30 PM - 10:00 PM,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 710,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,21 of 30 seats remain.,21,,CPS-Undergraduate Labs,08,30,10,00,,,,,
Cell Biology,Lecture,Biology - CPS,2300,01,3,20010,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"24 of 30 seats remain.
5 of 5 waitlist seats remain.",24,5,Lowell Institute School,,,,,,,,,
Genetics and Molecular Biology,Lecture,Biology - CPS,2500,01,3,20130,Thursday,S,M,T,W,F,T,S,05:50 PM - 08:20 PM,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 750,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"18 of 24 seats remain.
5 of 5 waitlist seats remain.",18,5,Lowell Institute School,05,50,08,20,,,,,
Lab for BIO 2500,Lab,Biology - CPS,2501,01,1,20131,Thursday,S,M,T,W,F,T,S,08:30 PM - 10:00 PM,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 715,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"20 of 24 seats remain.
5 of 5 waitlist seats remain.",20,5,CPS-Undergraduate Labs,08,30,10,00,,,,,
Biochemistry,Lecture,Biology - CPS,3100,01,3,20054,Tuesday,S,M,W,T,F,T,S,05:50 PM - 08:20 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 124,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"11 of 20 seats remain.
5 of 5 waitlist seats remain.",11,5,NUpath Writing Intensive,05,50,08,20,Lowell Institute School,,,,
Lab for BIO 3100,Lab,Biology - CPS,3101,01,1,20055,Tuesday,S,M,W,T,F,T,S,08:30 PM - 10:00 PM,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 705,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"11 of 20 seats remain.
5 of 5 waitlist seats remain.",11,5,CPS-Undergraduate Labs,08,30,10,00,,,,,
Quality Control and Validation Issues,Lecture,Biotechnology - CPS,4450,01,3,20282,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"28 of 30 seats remain.
5 of 5 waitlist seats remain.",28,5,Lowell Institute School,,,,,,,,,
Biotechnology Senior Project,Seminar,Biotechnology - CPS,4850,01,3,20312,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"27 of 30 seats remain.
10 of 10 waitlist seats remain.",27,10,NUpath Capstone Experience,,,,,NUpath Writing Intensive,Lowell Institute School,,,
General Chemistry 1,Lecture,Chemistry - CPS,1100,01,3,20011,Wednesday,S,M,T,T,F,W,S,05:50 PM - 08:35 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 124,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/24/2025,End Date:,Boston,"19 of 24 seats remain.
10 of 10 waitlist seats remain.",19,10,NUpath Natural/Designed World,05,50,08,35,Lowell Institute School,,,,
General Chemistry 1,Lecture,Chemistry - CPS,1100,02,3,20162,Thursday,S,M,T,W,F,T,S,05:50 PM - 08:20 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 128,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"14 of 24 seats remain.
5 of 5 waitlist seats remain.",14,5,NUpath Natural/Designed World,05,50,08,20,Lowell Institute School,,,,
Lab for CHM 1100,Lab,Chemistry - CPS,1101,01,1,20012,Wednesday,S,M,T,T,F,W,S,08:50 PM - 10:20 PM,Type: Class,Type:,Building: Boston,Building:,Room: DEPT,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/24/2025,End Date:,Boston,"19 of 24 seats remain.
10 of 10 waitlist seats remain.",19,10,Low Enrollment,08,50,10,20,CPS-Undergraduate Labs,,,,
Lab for CHM 1100,Lab,Chemistry - CPS,1101,02,1,20163,Thursday,S,M,T,W,F,T,S,08:30 PM - 10:00 PM,Type: Class,Type:,Building: Boston,Building:,Room: DEPT,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"15 of 24 seats remain.
5 of 5 waitlist seats remain.",15,5,CPS-Undergraduate Labs,08,30,10,00,,,,,
General Chemistry 2,Lecture,Chemistry - CPS,1200,01,3,20013,Wednesday,S,M,T,T,F,W,S,05:50 PM - 08:35 PM,Type: Class,Type:,Building: Kariotis Hall,Building:,Room: 209,Room:,Start Date: 06/25/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"21 of 24 seats remain.
10 of 10 waitlist seats remain.",21,10,NUpath Natural/Designed World,05,50,08,35,Lowell Institute School,,,,
General Chemistry 2,Lecture,Chemistry - CPS,1200,02,3,20081,Tuesday,S,M,W,T,F,T,S,05:50 PM - 08:20 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 128,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"8 of 24 seats remain.
5 of 5 waitlist seats remain.",8,5,NUpath Natural/Designed World,05,50,08,20,Lowell Institute School,,,,
Lab for CHM 1200,Lab,Chemistry - CPS,1201,01,1,20014,Wednesday,S,M,T,T,F,W,S,08:50 PM - 10:20 PM,Type: Class,Type:,Building: Boston,Building:,Room: DEPT,Room:,Start Date: 06/25/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"21 of 24 seats remain.
10 of 10 waitlist seats remain.",21,10,Low Enrollment,08,50,10,20,CPS-Undergraduate Labs,,,,
Lab for CHM 1200,Lab,Chemistry - CPS,1201,02,1,20082,Tuesday,S,M,W,T,F,T,S,08:30 PM - 10:00 PM,Type: Class,Type:,Building: Boston,Building:,Room: DEPT,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"8 of 24 seats remain.
5 of 5 waitlist seats remain.",8,5,CPS-Undergraduate Labs,08,30,10,00,,,,,
Organic Chemistry 1,Lecture,Chemistry - CPS,2110,01,3,20015,Tuesday,S,M,W,T,F,T,S,05:50 PM - 08:35 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 126,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/24/2025,End Date:,Boston,,FULL,3,Lowell Institute School,05,50,08,35,,,,FULL: 0 of 24 seats remain.,3 of 5 waitlist seats remain.
Organic Chemistry 1,Lecture,Chemistry - CPS,2110,02,3,20099,Wednesday,S,M,T,T,F,W,S,05:50 PM - 08:20 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 128,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"18 of 24 seats remain.
5 of 5 waitlist seats remain.",18,5,Lowell Institute School,05,50,08,20,,,,,
Lab for CHM 2110,Lab,Chemistry - CPS,2111,01,1,20016,Tuesday,S,M,W,T,F,T,S,08:50 PM - 10:20 PM,Type: Class,Type:,Building: Boston,Building:,Room: DEPT,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/24/2025,End Date:,Boston,"2 of 24 seats remain.
10 of 10 waitlist seats remain.",2,10,CPS-Undergraduate Labs,08,50,10,20,,,,,
Lab for CHM 2110,Lab,Chemistry - CPS,2111,02,1,20098,Wednesday,S,M,T,T,F,W,S,08:30 PM - 09:20 PM,Type: Class,Type:,Building: Boston,Building:,Room: DEPT,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"17 of 24 seats remain.
5 of 5 waitlist seats remain.",17,5,CPS-Undergraduate Labs,08,30,09,20,,,,,
Organic Chemistry 2,Lecture,Chemistry - CPS,2200,01,3,20017,Tuesday,S,M,W,T,F,T,S,05:50 PM - 08:35 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 126,Room:,Start Date: 06/25/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"3 of 24 seats remain.
10 of 10 waitlist seats remain.",3,10,Lowell Institute School,05,50,08,35,,,,,
Organic Chemistry 2,Lecture,Chemistry - CPS,2200,02,3,20083,Monday,S,T,W,T,F,M,S,05:50 PM - 08:20 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 128,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"11 of 24 seats remain.
5 of 5 waitlist seats remain.",11,5,Lowell Institute School,05,50,08,20,,,,,
Lab for CHM 2200,Lab,Chemistry - CPS,2201,01,1,20018,Tuesday,S,M,W,T,F,T,S,08:50 PM - 10:20 PM,Type: Class,Type:,Building: Boston,Building:,Room: DEPT,Room:,Start Date: 06/25/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"4 of 24 seats remain.
10 of 10 waitlist seats remain.",4,10,CPS-Undergraduate Labs,08,50,10,20,,,,,
Lab for CHM 2200,Lab,Chemistry - CPS,2201,02,1,20084,Monday,S,T,W,T,F,M,S,08:30 PM - 10:00 PM,Type: Class,Type:,Building: Boston,Building:,Room: DEPT,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"14 of 24 seats remain.
5 of 5 waitlist seats remain.",14,5,CPS-Undergraduate Labs,08,30,10,00,,,,,
Organizational Communication,Lecture,Communicatn Studies - CPS,1100,01,3,20091,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"15 of 30 seats remain.
10 of 10 waitlist seats remain.",15,10,NUpath Difference/Diversity,,,,,NUpath Interpreting Culture,CPS-Programs-UG,,,
Organizational Communication,Lecture,Communicatn Studies - CPS,1100,02,3,20132,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/24/2025,End Date:,Online,"5 of 30 seats remain.
5 of 5 waitlist seats remain.",5,5,NUpath Difference/Diversity,,,,,NUpath Interpreting Culture,CPS-Programs-UG,,,
Organizational Communication,Lecture,Communicatn Studies - CPS,1100,03,3,20153,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/25/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"26 of 30 seats remain.
5 of 5 waitlist seats remain.",26,5,NUpath Difference/Diversity,,,,,NUpath Interpreting Culture,CPS-Programs-UG,,,
Professional Speaking,Lecture,Communicatn Studies - CPS,2310,01,3,20019,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/24/2025,End Date:,Online,"23 of 30 seats remain.
5 of 5 waitlist seats remain.",23,5,CPS-Programs-UG,,,,,,,,,
Negotiation,Lecture,Communicatn Studies - CPS,3100,01,3,20020,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"22 of 30 seats remain.
10 of 10 waitlist seats remain.",22,10,CPS-Programs-UG,,,,,,,,,
Intercultural Communication,Lecture,Communicatn Studies - CPS,3350,01,3,20108,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"17 of 30 seats remain.
5 of 5 waitlist seats remain.",17,5,CPS-Programs-UG,,,,,,,,,
Data Structures and Algorithms,Lecture,Computer Engineerng Tech - CPS,2200,01,3,20259,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"25 of 30 seats remain.
10 of 10 waitlist seats remain.",25,10,Lowell Institute School,,,,,,,,,
