section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row (3),tooltip-row (5),tooltip-row (7),tooltip-row (9),readonly (7),status-full,status-bold,readonly (8),readonly (9),readonly (11),meeting (2),meeting (3),meeting (4),meeting (5),status-waitlist,status-bold (2),readonly (12),readonly (13),status-bold (3),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20)
Research,Individual Instruction,Bioengineering,9986,35,0,50875,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,2,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,36,0,50926,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,37,0,50931,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,1,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,38,0,50935,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,1,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,39,0,50963,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,1,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,40,0,50964,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,42,0,51699,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,43,0,51700,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,44,0,51701,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,2,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,45,0,51702,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,46,0,51703,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,47,0,51704,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,48,0,51705,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,2,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,49,0,52457,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,2,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,50,0,52469,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,5,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,51,0,52592,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,2,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,52,0,52648,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,2,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,53,0,52689,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,1,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,54,0,53351,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,1,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,55,0,53353,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,4,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,56,0,53358,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,4,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,57,0,53359,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",FULL: 0 of 1 seats remain.,FULL,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Bioengineering,9986,58,0,53384,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,4,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,01,0,50664,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,02,0,50738,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,2,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,04,0,50456,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,06,0,50509,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,2,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,07,0,50702,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,5,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,08,0,50745,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,4,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,09,0,50757,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,5,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,10,0,50786,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,5,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,12,0,50787,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,5,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,13,0,50788,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,15,0,50789,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,2,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,17,0,50790,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,5,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,19,0,50791,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,1,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,20,0,50792,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,5,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,22,0,50793,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,5,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,23,0,50794,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,5,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,24,0,50795,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,5,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,25,0,50796,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,5,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,27,0,50797,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,5,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,29,0,50798,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,2,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,30,0,50923,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,5,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,31,0,50965,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,1,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,32,0,50966,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,33,0,50967,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,2,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,34,0,50968,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,2,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,35,0,50969,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,1,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,36,0,51190,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,1,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,37,0,51578,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,1,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,38,0,51706,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,2,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,39,0,51707,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,2,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,40,0,52458,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,2,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,41,0,52624,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,42,0,52883,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,2,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 1,Individual Instruction,Bioengineering,9990,43,0,53387,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,4,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 2,Individual Instruction,Bioengineering,9991,01,0,50433,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,4,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 2,Individual Instruction,Bioengineering,9991,02,0,50466,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Term 2,Individual Instruction,Bioengineering,9991,03,0,50502,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,2,GSEN Engineering,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
