section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row,tooltip-row (2),tooltip-row (3),tooltip-row (4),tooltip-row (5),tooltip-row (6),tooltip-row (7),tooltip-row (8),tooltip-row (9),tooltip-row (10),readonly (7),readonly (8),status-bold,status-bold (2),readonly (9),readonly (10),meeting (2),meeting (3),meeting (4),meeting (5),status-full,status-waitlist,readonly (11),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),ui-pillbox-summary (3),ui-state-default (15),ui-state-default (16),ui-state-default (17),ui-state-default (18),ui-state-default (19),ui-state-default (20),ui-state-default (21),meeting (11),meeting (12),meeting (13),meeting (14),meeting (15),tooltip-row (21),tooltip-row (22),tooltip-row (23),tooltip-row (24),tooltip-row (25),tooltip-row (26),tooltip-row (27),tooltip-row (28),tooltip-row (29),tooltip-row (30),ui-pillbox-summary (4),ui-state-default (22),ui-state-default (23),ui-state-default (24),ui-state-default (25),ui-state-default (26),ui-state-default (27),ui-state-default (28),meeting (16),meeting (17),meeting (18),meeting (19),meeting (20),tooltip-row (31),tooltip-row (32),tooltip-row (33),tooltip-row (34),tooltip-row (35),tooltip-row (36),tooltip-row (37),tooltip-row (38),tooltip-row (39),tooltip-row (40),ui-state-default (29),ui-state-default (30),ui-state-default (31),ui-state-default (33),ui-state-default (34),tooltip-row (47),tooltip-row (49),ui-state-default (36),ui-state-default (37),ui-state-default (38),ui-state-default (39),ui-state-default (41),ui-state-default (42),tooltip-row (53),tooltip-row (55),tooltip-row (57),tooltip-row (59),status-bold (3),readonly (12)
Probability Theory and Introductory Statistics,Lecture,Analytics - CPS,6010,13,3,80305,Thursday,S,M,T,W,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: 89 Broad Street,Building:,Room: 215,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,"27 of 30 seats remain.
10 of 10 waitlist seats remain.",27,10,CPS-Professional Programs GR 2,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability Theory and Introductory Statistics,Lecture,Analytics - CPS,6010,19,3,80786,Tuesday,S,M,W,T,F,S,T,06:00 PM - 08:40 PM,Type: Class,Type:,Building: Roux Institute 100 Fore St.,Building:,Room: 136,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Portland, Maine","9 of 30 seats remain.
10 of 10 waitlist seats remain.",9,10,Roux Institute,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability Theory and Introductory Statistics,Lecture,Analytics - CPS,6010,21,3,80806,Monday,S,T,W,T,F,S,M,02:50 PM - 05:30 PM,Type: Class,Type:,Building: 401 Terry Ave,Building:,Room: 142,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Seattle, WA","4 of 5 seats remain.
1 of 1 waitlist seats remain.",4,1,Seattle CPS-Prof Prog Grad 2,,02,50,05,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability Theory and Introductory Statistics,Lecture,Analytics - CPS,6010,22,3,80892,Thursday,S,M,T,W,F,S,T,02:50 PM - 05:30 PM,Type: Class,Type:,Building: Northeastern San Jose,Building:,Room: 906,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Silicon Valley, CA",5 of 5 seats remain.,5,,CPS-Professional Programs GR 2,Silicon Valley CPS Ldrshp Grad,02,50,05,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability Theory and Introductory Statistics,Lecture,Analytics - CPS,6010,23,3,81145,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Online,"27 of 30 seats remain.
10 of 10 waitlist seats remain.",27,10,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability Theory and Introductory Statistics,Lecture,Analytics - CPS,6010,24,3,81229,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"1 of 30 seats remain.
6 of 6 waitlist seats remain.",1,6,Toronto program eligible,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Analytics,Lecture,Analytics - CPS,6015,02,3,80245,Tuesday,S,M,W,T,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Hastings Suite,Building:,Room: 108,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"12 of 30 seats remain.
10 of 10 waitlist seats remain.",12,10,CPS-Professional Programs GR 2,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Analytics,Lecture,Analytics - CPS,6015,03,3,80246,Thursday,S,M,T,W,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 111,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,,FULL,6,CPS-Professional Programs GR 2,,05,50,08,30,FULL: 0 of 38 seats remain.,6 of 10 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Analytics,Lecture,Analytics - CPS,6015,07,3,80277,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"24 of 30 seats remain.
10 of 10 waitlist seats remain.",24,10,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Analytics,Lecture,Analytics - CPS,6015,20,3,80605,Wednesday,S,M,T,T,F,S,W,06:00 PM - 08:40 PM,Type: Class,Type:,Building: Northeastern San Jose,Building:,Room: 902,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Silicon Valley, CA","20 of 25 seats remain.
10 of 10 waitlist seats remain.",20,10,San Jose Eligible,CPS-Professional Programs GR 2,06,00,08,40,,,Silicon Valley CPS Ldrshp Grad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Analytics,Lecture,Analytics - CPS,6015,21,3,80606,Wednesday,S,M,T,T,F,S,W,06:00 PM - 08:40 PM,Type: Class,Type:,Building: 401 Terry Ave,Building:,Room: 142,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Seattle, WA","15 of 16 seats remain.
6 of 6 waitlist seats remain.",15,6,Seattle CPS-Prof Prog Grad 2,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Analytics,Lecture,Analytics - CPS,6015,22,3,80629,Wednesday,S,M,T,T,F,S,W,06:00 PM - 08:40 PM,Type: Class,Type:,Building: Roux Institute 100 Fore St.,Building:,Room: 136,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Portland, Maine","11 of 30 seats remain.
10 of 10 waitlist seats remain.",11,10,Roux Institute,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Analytics,Lecture,Analytics - CPS,6015,24,3,80720,Wednesday,S,M,T,T,F,S,W,06:00 PM - 08:40 PM,Type: Class,Type:,Building: West Georgia,Building:,Room: 1515,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Vancouver, Canada","19 of 30 seats remain.
10 of 10 waitlist seats remain.",19,10,CPS-Professional Programs GR 2,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Analytics,Lecture,Analytics - CPS,6015,31,3,80884,Thursday,S,M,T,W,F,S,T,03:00 PM - 05:40 PM,Type: Class,Type:,"Building: 375 Queen Street, Toronto",Building:,Room: 605,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Toronto, Canada",3 of 30 seats remain.,3,,CPS-Professional Programs GR 2,,03,00,05,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Analytics,Lecture,Analytics - CPS,6015,36,3,81243,Friday,S,M,T,W,T,S,F,03:00 PM - 05:40 PM,Type: Class,Type:,"Building: 375 Queen Street, Toronto",Building:,Room: 605,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Toronto, Canada",22 of 30 seats remain.,22,,CPS-Professional Programs GR 2,,03,00,05,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Analytics,Lecture,Analytics - CPS,6015,37,3,81350,Friday,S,M,T,W,T,S,F,03:00 PM - 05:40 PM,Type: Class,Type:,Building: West Georgia,Building:,Room: 1425,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Vancouver, Canada","7 of 30 seats remain.
10 of 10 waitlist seats remain.",7,10,CPS-Professional Programs GR 2,,03,00,05,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Analytics,Lecture,Analytics - CPS,6015,38,3,81405,Tuesday,S,M,W,T,F,S,T,06:00 PM - 08:40 PM,Type: Class,Type:,Building: Northeastern Arlington Tower,Building:,Room: 1524,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Arlington, VA","28 of 30 seats remain.
10 of 10 waitlist seats remain.",28,10,CPS-Professional Programs GR 2,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Analytics,Lecture,Analytics - CPS,6015,39,3,81418,Thursday,S,M,T,W,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Kariotis Hall,Building:,Room: 202,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,"17 of 30 seats remain.
10 of 10 waitlist seats remain.",17,10,CPS-Professional Programs GR 2,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predictive Analytics,Lecture,Analytics - CPS,6020,01,3,80248,Monday,S,T,W,T,F,S,M,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 202,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,"11 of 15 seats remain.
10 of 10 waitlist seats remain.",11,10,CPS-Professional Programs GR 2,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predictive Analytics,Lecture,Analytics - CPS,6020,02,3,80249,Tuesday,S,M,W,T,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Richards Hall,Building:,Room: 226,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"19 of 30 seats remain.
10 of 10 waitlist seats remain.",19,10,CPS-Professional Programs GR 2,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predictive Analytics,Lecture,Analytics - CPS,6020,14,3,80766,Monday,S,T,W,T,F,S,M,02:50 PM - 05:30 PM,Type: Class,Type:,Building: 225 Terry Ave,Building:,Room: 111,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Seattle, WA","1 of 5 seats remain.
1 of 1 waitlist seats remain.",1,1,Seattle CPS-Prof Prog Grad 2,,02,50,05,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predictive Analytics,Lecture,Analytics - CPS,6020,18,3,80914,Monday,S,T,W,T,F,S,M,06:00 PM - 08:40 PM,Type: Class,Type:,Building: West Georgia,Building:,Room: 1426,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Vancouver, Canada","20 of 30 seats remain.
10 of 10 waitlist seats remain.",20,10,Vancouver program eligible,CPS-Professional Programs GR 2,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predictive Analytics,Lecture,Analytics - CPS,6020,21,3,81361,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"22 of 30 seats remain.
10 of 10 waitlist seats remain.",22,10,Toronto program eligible,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Warehousing and SQL,Lecture,Analytics - CPS,6030,02,3,80261,Tuesday,S,M,W,T,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Hayden Hall,Building:,Room: 425,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"24 of 30 seats remain.
10 of 10 waitlist seats remain.",24,10,CPS-Professional Programs GR 2,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Warehousing and SQL,Lecture,Analytics - CPS,6030,03,3,80262,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Online,"21 of 23 seats remain.
10 of 10 waitlist seats remain.",21,10,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Warehousing and SQL,Lecture,Analytics - CPS,6030,04,3,80298,Tuesday,S,M,W,T,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Hastings Suite,Building:,Room: 209,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,"6 of 25 seats remain.
10 of 10 waitlist seats remain.",6,10,CPS-Professional Programs GR 2,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Warehousing and SQL,Lecture,Analytics - CPS,6030,12,3,80767,Wednesday,S,M,T,T,F,S,W,06:00 PM - 08:40 PM,Type: Class,Type:,Building: 225 Terry Ave,Building:,Room: 408,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Seattle, WA",,FULL,1,Seattle CPS-Prof Prog Grad 2,,06,00,08,40,FULL: 0 of 5 seats remain.,1 of 1 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Warehousing and SQL,Lecture,Analytics - CPS,6030,14,3,80894,Wednesday,S,M,T,T,F,S,W,06:00 PM - 08:40 PM,Type: Class,Type:,Building: Northeastern San Jose,Building:,Room: 1010,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Silicon Valley, CA","22 of 25 seats remain.
10 of 10 waitlist seats remain.",22,10,San Jose Eligible,CPS-Professional Programs GR 2,06,00,08,40,,,Silicon Valley CPS Ldrshp Grad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Warehousing and SQL,Lecture,Analytics - CPS,6030,15,3,80924,Tuesday,S,M,W,T,F,S,T,06:00 PM - 08:40 PM,Type: Class,Type:,Building: West Georgia,Building:,Room: 1426,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Vancouver, Canada","12 of 30 seats remain.
10 of 10 waitlist seats remain.",12,10,Vancouver program eligible,CPS-Professional Programs GR 2,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Warehousing and SQL,Lecture,Analytics - CPS,6030,16,3,81230,Tuesday,S,M,W,T,F,S,T,06:00 PM - 08:40 PM,Type: Class,Type:,"Building: 375 Queen Street, Toronto",Building:,Room: 604,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Toronto, Canada","12 of 30 seats remain.
6 of 6 waitlist seats remain.",12,6,CPS-Professional Programs GR 2,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
