section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row,tooltip-row (2),tooltip-row (3),tooltip-row (4),tooltip-row (5),tooltip-row (6),tooltip-row (7),tooltip-row (8),tooltip-row (9),tooltip-row (10),readonly (7),status-full,status-bold,readonly (8),readonly (9),meeting (2),meeting (3),meeting (4),meeting (5),readonly (11),status-waitlist,status-bold (2),readonly (12),readonly (13),readonly (14),readonly (15),status-bold (3),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20)
Accounting for Business Combinations,Lecture,Accounting,6227,01,3,61834,"Tuesday,Thursday",S,M,W,T,T,F,S,09:50 AM - 12:20 PM,Type: Class,Type:,Building: Forsyth Building,Building:,Room: 129,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,35,GSBA Professional Accounting,,09,50,12,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting for Business Combinations,Lecture,Accounting,6227,02,3,61954,"Tuesday,Thursday",S,M,W,T,T,F,S,01:30 PM - 04:00 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 435,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,30,GSBA Professional Accounting,,01,30,04,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporations and Shareholders,Lecture,Accounting,6231,01,3,60191,"Tuesday,Thursday",S,M,W,T,T,F,S,03:40 PM - 05:40 PM,Type: Class,Type:,Building: Dodge Hall,Building:,Room: 430,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,40,GSBA Professional Accounting,,03,40,05,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partners and Partnerships,Lecture,Accounting,6235,01,3,60192,"Tuesday,Thursday",S,M,W,T,T,F,S,06:00 PM - 08:00 PM,Type: Class,Type:,Building: Cargill Hall,Building:,Room: 094,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,40,GSBA Professional Accounting,,06,00,08,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Research and Communication,Lecture,Accounting,6254,01,3,60194,"Tuesday,Thursday",S,M,W,T,T,F,S,01:30 PM - 03:30 PM,Type: Class,Type:,Building: Hastings Suite,Building:,Room: 201,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,36,GSBA Elective for MSA,,01,30,03,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Global Health,Lecture,Africana Studies,1270,01,4,61824,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,,1,NUpath Societies/Institutions,NU Accelerate Program Course,,,,,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peoples and Cultures,Lecture,Anthropology,1101,01,4,61734,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 30 seats remain.,FULL,NU Core Comp Stdy of Cultures,NUpath Interpreting Culture,,,,,NU Core Social Science Lvl 1,0 of 5 waitlist seats remain.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buildings and Cities, A Global History",Lecture,Architecture,1310,01,4,60746,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,,223,NU Core Comp Stdy of Cultures,NUpath Difference/Diversity,,,,,NUpath Interpreting Culture,,,NU Accelerate Program Course,"UG Col of Arts, Media & Design",,,,,,,,,,,,,,,,,,,,,,,,,,
Recitation for ARCH 1310,Recitation/Discussion,Architecture,1311,01,0,61432,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,"No campus, no room needed",,219,No Course Evaluation,NU Accelerate Program Course,,,,,"UG Col of Arts, Media & Design",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Site, Space, Program",Studio,Architecture,2130,01,6,60907,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,01:30 PM - 05:00 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 10 seats remain.,FULL,"UG Col of Arts, Media & Design",,01,30,05,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Site, Space, Program",Studio,Architecture,2130,02,6,61445,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,01:30 PM - 05:00 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,,4,"UG Col of Arts, Media & Design",,01,30,05,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typographic Systems,Lecture,Art - Design,1290,01,2,61289,"Monday,Wednesday",S,T,T,M,W,F,S,01:30 PM - 03:10 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 427,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,5,"UG Col of Arts, Media & Design",,01,30,03,10,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studio for Typographic Systems,Studio,Art - Design,1291,01,2,61290,"Monday,Wednesday",S,T,T,M,W,F,S,03:20 PM - 05:00 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 427,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,5,"UG Col of Arts, Media & Design",,03,20,05,00,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Design Principles,Studio,Art - Design,2242,01,4,61291,"Monday,Wednesday",S,T,T,M,W,F,S,08:00 AM - 11:30 AM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 427,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,8,"UG Col of Arts, Media & Design",,08,00,11,30,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graphic Design Principles,Studio,Art - Design,2252,01,4,60474,"Tuesday,Thursday",S,M,W,T,T,F,S,01:30 PM - 05:00 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 16 seats remain.,FULL,NUpath Creative Express/Innov,"UG Col of Arts, Media & Design",01,30,05,00,Ryder Hall Access,2 of 6 waitlist seats remain.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prototyping with Code,Lecture,Art - Design,2262,01,2,61292,"Tuesday,Thursday",S,M,W,T,T,F,S,01:30 PM - 03:10 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 399A,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,3,NUpath Formal/Quant Reasoning,"UG Col of Arts, Media & Design",01,30,03,10,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for ARTG 2262,Lab,Art - Design,2263,01,2,61293,"Tuesday,Thursday",S,M,W,T,T,F,S,03:20 PM - 05:00 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 399A,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,3,"UG Col of Arts, Media & Design",,03,20,05,00,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typography 2,Studio,Art - Design,3350,02,4,60590,"Tuesday,Thursday",S,M,W,T,T,F,S,01:30 PM - 05:00 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 427,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,11,NUpath Creative Express/Innov,"UG Col of Arts, Media & Design",01,30,05,00,Ryder Hall Access,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topics In Graphic Design Inquiry,Studio,Art - Design,3452,02,4,61784,"Monday,Wednesday",S,T,T,M,W,F,S,01:30 PM - 05:00 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,,5,Topics Course,"UG Col of Arts, Media & Design",01,30,05,00,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human-Centered AI,Lecture,Art - Design,6460,01,4,61850,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,,87,EDGE supported Section,Performance Based Admission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Representational Drawing,Studio,Art - Fundamentals,1200,01,2,61765,"Monday,Wednesday",S,T,T,M,W,F,S,01:30 PM - 03:10 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 403,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,2,NUpath Creative Express/Innov,"UG Col of Arts, Media & Design",01,30,03,10,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Representational Drawing,Studio,Art - Fundamentals,1200,02,2,61766,"Monday,Wednesday",S,T,T,M,W,F,S,03:20 PM - 05:00 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 403,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,5,NUpath Creative Express/Innov,"UG Col of Arts, Media & Design",03,20,05,00,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abstract Drawing,Studio,Art - Fundamentals,1210,02,2,61768,"Monday,Wednesday",S,T,T,M,W,F,S,09:50 AM - 11:30 AM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 403,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,8,NUpath Creative Express/Innov,"UG Col of Arts, Media & Design",09,50,11,30,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elements of Visual Composition,Studio,Art - Fundamentals,1220,02,2,61770,"Tuesday,Thursday",S,M,W,T,T,F,S,09:50 AM - 11:30 AM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 403,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,10,NUpath Creative Express/Innov,"UG Col of Arts, Media & Design",09,50,11,30,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elements of Visual Composition,Studio,Art - Fundamentals,1220,03,2,61771,"Tuesday,Thursday",S,M,W,T,T,F,S,01:30 PM - 03:10 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 403,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,5,NUpath Creative Express/Innov,"UG Col of Arts, Media & Design",01,30,03,10,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Making with Video, Sound, and Animation",Studio,Art - Fundamentals,1240,01,2,61778,"Tuesday,Thursday",S,M,W,T,T,F,S,01:30 PM - 03:10 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 399,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,8,NUpath Creative Express/Innov,"UG Col of Arts, Media & Design",01,30,03,10,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Making with Video, Sound, and Animation Tools",Lab,Art - Fundamentals,1241,01,0,61780,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,,22,"UG Col of Arts, Media & Design",,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designing Interactive Experiences,Studio,Art - Fundamentals,1250,01,2,61781,"Monday,Wednesday",S,T,T,M,W,F,S,01:30 PM - 03:10 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 399,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,1,NUpath Creative Express/Innov,"UG Col of Arts, Media & Design",01,30,03,10,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designing Interactive Experiences Tools,Lab,Art - Fundamentals,1251,01,0,61783,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,,14,"UG Col of Arts, Media & Design",,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Directed Study,Individual Instruction,Art - General,6976,1,4,61941,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",FULL: 0 of 1 seats remain.,FULL,"GS Col of Arts, Media & Design",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Directed Study,Individual Instruction,Art - General,6976,2,1 TO 4,61985,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,1,"GS Col of Arts, Media & Design",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
History of Graphic Design,Lecture,Art - History,2215,01,4,60705,"Tuesday,Thursday",S,M,W,T,T,F,S,08:00 AM - 11:30 AM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 207,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,14,"UG Col of Arts, Media & Design",,08,00,11,30,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Photography,Studio,Art - Media Arts,2360,01,4,60554,"Tuesday,Thursday",S,M,W,T,T,F,S,08:00 AM - 11:30 AM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,,2,NUpath Creative Express/Innov,"UG Col of Arts, Media & Design",08,00,11,30,Ryder Hall Access,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Photography,Studio,Art - Media Arts,2360,02,4,60555,"Monday,Wednesday",S,T,T,M,W,F,S,08:00 AM - 11:30 AM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 399A,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,8,NUpath Creative Express/Innov,"UG Col of Arts, Media & Design",08,00,11,30,Ryder Hall Access,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photo Tools,Studio,Art - Media Arts,2361,01,1,60556,"Monday,Wednesday",S,T,T,M,W,F,S,11:40 AM - 12:45 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,,2,"UG Col of Arts, Media & Design",Ryder Hall Access,11,40,12,45,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photo Tools,Studio,Art - Media Arts,2361,03,1,61764,"Tuesday,Thursday",S,M,W,T,T,F,S,11:40 AM - 12:45 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,,8,"UG Col of Arts, Media & Design",Ryder Hall Access,11,40,12,45,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advocacy and the Arts,Seminar,Arts Admin & Cultural Entrep,6120,01,3,61515,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,,5,"GS Col of Arts, Media & Design",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bioelectricity,Lecture,Bioengineering,3210,01,4,60700,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,01:30 PM - 03:10 PM,Type: Class,Type:,Building: West Village H,Building:,Room: 108,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 44 seats remain.,FULL,Engineering,,01,30,03,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capstone Design 1,Lecture,Bioengineering,4790,01,4,60320,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,08:00 AM - 09:40 AM,Type: Class,Type:,Building: Cargill Hall,Building:,Room: 097,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,24,NU Core Capstone,NUpath Capstone Experience,08,00,09,40,NUpath Creative Express/Innov,,79,NU Core Writing Intsv in Majr,NUpath Writing Intensive,Engineering,XN Experiential Project,,,,,,,,,,,,,,,,,,,,,,,,
General Biology 1,Lecture,Biology,1111,01,4,60884,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 25 seats remain.,FULL,NUpath Natural/Designed World,NU Core Science/Tech Lvl 1,,,,,UG College of Science,5 of 10 waitlist seats remain.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for BIOL 1111,Lab,Biology,1112,01,1,60885,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 25 seats remain.,FULL,NUpath Analyzing/Using Data,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microbes and Society,Lecture,Biology,1141,01,4,61928,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,,5,NUpath Natural/Designed World,NU Core Science/Tech Lvl 1,,,,,UG College of Science,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genetics and Molecular Biology,Lecture,Biology,2301,01,4,60336,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,03:20 PM - 05:00 PM,Type: Class,Type:,Building: Cargill Hall,Building:,Room: 097,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,8,NU Core Math/Anly Think Lvl 2,NUpath Natural/Designed World,03,20,05,00,UG College of Science,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for BIOL 2301,Lab,Biology,2302,01,1,60147,"Tuesday,Thursday",S,M,W,T,T,F,S,08:00 AM - 09:40 AM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,13,NUpath Analyzing/Using Data,UG College of Science,08,00,09,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for BIOL 2301,Lab,Biology,2302,02,1,60148,"Tuesday,Thursday",S,M,W,T,T,F,S,11:40 AM - 01:20 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,2,NUpath Analyzing/Using Data,UG College of Science,11,40,01,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for BIOL 2301,Lab,Biology,2302,03,1,60969,"Monday,Wednesday",S,T,T,M,W,F,S,11:40 AM - 01:20 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,6,NUpath Analyzing/Using Data,UG College of Science,11,40,01,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology Project Lab,Lab,Biology,2309,01,4,60397,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,11:45 AM - 02:45 PM,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 605,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 16 seats remain.,FULL,NUpath Analyzing/Using Data,NUpath Creative Express/Innov,11,45,02,45,NUpath Writing Intensive,3 of 10 waitlist seats remain.,3,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology Project Lab,Lab,Biology,2309,02,4,60708,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,11:45 AM - 02:45 PM,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 610,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 16 seats remain.,FULL,NUpath Analyzing/Using Data,NUpath Creative Express/Innov,11,45,02,45,NUpath Writing Intensive,5 of 10 waitlist seats remain.,5,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bioethics,Lecture,Biology,2329,01,4,61806,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 40 seats remain.,FULL,NUpath Ethical Reasoning,UG College of Science,,,,,,0 of 10 waitlist seats remain.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neurobiology,Lecture,Biology,3405,02,4,60355,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 30 seats remain.,FULL,UG College of Science,,,,,,,0 of 10 waitlist seats remain.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST: Neurobio and Technology,Lecture,Biology,3415,01,4,60440,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 30 seats remain.,FULL,Topics Course,UG College of Science,,,,,,0 of 10 waitlist seats remain.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
