section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,meeting (2),meeting (3),meeting (4),meeting (5),tooltip-row,tooltip-row (3),tooltip-row (5),tooltip-row (7),tooltip-row (9),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),readonly (7),status-full,status-bold,readonly (8),readonly (10),status-bold (2),status-waitlist,ui-pillbox-summary (3),ui-state-default (15),ui-state-default (16),ui-state-default (17),ui-state-default (18),ui-state-default (19),ui-state-default (21),meeting (11),meeting (12),meeting (13),meeting (14),meeting (15),tooltip-row (21),tooltip-row (22),tooltip-row (23),tooltip-row (24),tooltip-row (25),tooltip-row (26),tooltip-row (27),tooltip-row (28),tooltip-row (29),tooltip-row (30),readonly (11),readonly (12),readonly (13),readonly (14),readonly (15),ui-pillbox-summary (4),ui-state-default (22),ui-state-default (23),ui-state-default (24),ui-state-default (25),ui-state-default (26),ui-state-default (27),ui-state-default (28),meeting (16),meeting (17),meeting (18),meeting (19),meeting (20),tooltip-row (31),tooltip-row (32),tooltip-row (33),tooltip-row (34),tooltip-row (35),tooltip-row (36),tooltip-row (37),tooltip-row (38),tooltip-row (39),tooltip-row (40),readonly (16),readonly (17),ui-pillbox-summary (5),ui-state-default (29),ui-state-default (30),ui-state-default (31),ui-state-default (32),ui-state-default (33),ui-state-default (34),ui-state-default (35),meeting (21),meeting (22),meeting (23),meeting (24),meeting (25),tooltip-row (41),tooltip-row (42),tooltip-row (43),tooltip-row (44),tooltip-row (45),tooltip-row (46),tooltip-row (47),tooltip-row (48),tooltip-row (49),tooltip-row (50),tooltip-row (57),tooltip-row (59)
Financial Accounting and Reporting,Lecture,Accounting,1201,11,4,30272,Thursday,S,T,M,M,W,T,W,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Building: Forsyth Building,Room: 130,Start Date: 04/24/2025,End Date: 04/24/2025,"Monday,Wednesday,Thursday",F,S,S,T,T,F,S,04:35 PM - 05:40 PM,04,35,05,40,Type: Class,Type:,Building: Hayden Hall,Building:,Room: 424,Room:,Start Date: 01/06/2025,Start Date:,End Date: 04/15/2025,End Date:,Boston,FULL: 0 of 36 seats remain.,FULL,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financ Acct. & Reporting,Lecture,Accounting,1201,12,4,30204,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,08:00 AM - 09:05 AM,08,00,09,05,Type: Class,Building: Snell Library,Room: 117,Start Date: 01/06/2025,End Date: 04/15/2025,Thursday,S,M,T,W,T,F,S,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Type:,Building: Churchill Hall,Building:,Room: 101,Room:,Start Date: 04/24/2025,Start Date:,End Date: 04/24/2025,End Date:,Boston,,2,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financl Accounting & Rep,Lecture,Accounting,1201,14,4,31182,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,10:30 AM - 11:35 AM,10,30,11,35,Type: Class,Building: Snell Library,Room: 117,Start Date: 01/06/2025,End Date: 04/15/2025,Thursday,S,M,T,W,T,F,S,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Type:,Building: Churchill Hall,Building:,Room: 101,Room:,Start Date: 04/24/2025,Start Date:,End Date: 04/24/2025,End Date:,Boston,FULL: 0 of 40 seats remain.,FULL,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1201,15,4,32555,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,09:15 AM - 10:20 AM,09,15,10,20,Type: Class,Building: Snell Library,Room: 117,Start Date: 01/06/2025,End Date: 04/15/2025,Thursday,S,M,T,W,T,F,S,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Type:,Building: Churchill Hall,Building:,Room: 101,Room:,Start Date: 04/24/2025,Start Date:,End Date: 04/24/2025,End Date:,Boston,FULL: 0 of 40 seats remain.,FULL,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1201,16,4,32847,Thursday,S,T,M,M,W,T,W,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Building: Behrakis Health Sciences Cntr,Room: 307,Start Date: 04/24/2025,End Date: 04/24/2025,"Monday,Wednesday,Thursday",F,S,S,T,T,F,S,04:35 PM - 05:40 PM,04,35,05,40,Type: Class,Type:,Building: Snell Library,Building:,Room: 039,Room:,Start Date: 01/06/2025,Start Date:,End Date: 04/15/2025,End Date:,Boston,,19,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1201,17,4,33590,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/15/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,Online,,1,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1201,18,4,36011,"Wednesday,Friday",S,W,M,F,T,T,T,11:45 AM - 01:25 PM,11,45,01,25,Type: Class,Building: EXP,Room: 204,Start Date: 01/06/2025,End Date: 04/15/2025,Thursday,S,S,M,T,S,W,F,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Type:,Building: Ryder Hall,Building:,Room: 429,Room:,Start Date: 04/24/2025,Start Date:,End Date: 04/24/2025,End Date:,Boston,,1,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1201,30,4,35564,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,10:35 AM - 11:40 AM,10,35,11,40,Type: Class,Building: Graduate School of Business,Room: 117,Start Date: 01/06/2025,End Date: 04/15/2025,Thursday,S,M,T,W,T,F,S,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Type:,Building: Natural Science,Building:,Room: 215,Room:,Start Date: 04/24/2025,Start Date:,End Date: 04/24/2025,End Date:,"Oakland, CA",,2,Global Scholars Program Course,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1201,31,4,38028,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,01:35 PM - 02:40 PM,01,35,02,40,Type: Class,Building: CPM,Room: 100,Start Date: 01/06/2025,End Date: 04/15/2025,Thursday,S,M,T,W,T,F,S,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Type:,Building: Natural Science,Building:,Room: 213,Room:,Start Date: 04/24/2025,Start Date:,End Date: 04/24/2025,End Date:,"Oakland, CA",,1,Global Scholars Program Course,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1201,32,4,38029,"Monday,Thursday",S,M,T,T,T,W,F,08:45 AM - 10:25 AM,08,45,10,25,Type: Class,Building: Graduate School of Business,Room: 118,Start Date: 01/06/2025,End Date: 04/15/2025,Thursday,S,S,M,T,W,F,S,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Type:,Building: Natural Science,Building:,Room: 217,Room:,Start Date: 04/24/2025,Start Date:,End Date: 04/24/2025,End Date:,"Oakland, CA",,14,Global Scholars Program Course,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1209,01,4,30796,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,08:00 AM - 09:05 AM,08,00,09,05,Type: Class,Building: Shillman Hall,Room: 215,Start Date: 01/06/2025,End Date: 04/15/2025,Thursday,S,M,T,W,T,F,S,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Type:,Building: Cargill Hall,Building:,Room: 097,Room:,Start Date: 04/24/2025,Start Date:,End Date: 04/24/2025,End Date:,Boston,,12,Business Admin,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1209,02,4,30797,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,09:15 AM - 10:20 AM,09,15,10,20,Type: Class,Building: Shillman Hall,Room: 325,Start Date: 01/06/2025,End Date: 04/15/2025,Thursday,S,M,T,W,T,F,S,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Type:,Building: Shillman Hall,Building:,Room: 215,Room:,Start Date: 04/24/2025,Start Date:,End Date: 04/24/2025,End Date:,Boston,FULL: 0 of 48 seats remain.,FULL,Business Admin,,5,5 of 5 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1209,03,4,30949,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/15/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,Online,FULL: 0 of 15 seats remain.,FULL,Business Admin,,10,10 of 10 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1209,04,4,30950,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/15/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,Online,,1,Business Admin,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1209,05,4,30951,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/15/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,Online,,2,Business Admin,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1209,06,4,30952,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/15/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,Online,FULL: 0 of 15 seats remain.,FULL,Business Admin,,10,10 of 10 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1209,07,4,30953,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/15/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,Online,,1,Business Admin,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1209,08,4,30954,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/15/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,Online,,1,Business Admin,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1209,09,4,34691,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/15/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,Online,,7,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accounting and Reporting,Lecture,Accounting,1209,10,4,34692,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/15/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,Online,,9,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit Analysis for Managers and Advisors,Lecture,Accounting,2301,01,4,30391,"Monday,Thursday",S,M,T,T,F,W,F,11:45 AM - 01:25 PM,11,45,01,25,Type: Class,Building: Forsyth Building,Room: 201,Start Date: 01/06/2025,End Date: 04/15/2025,Friday,S,S,M,T,W,T,S,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Type:,Building: Knowles Center,Building:,Room: 002B,Room:,Start Date: 04/18/2025,Start Date:,End Date: 04/18/2025,End Date:,Boston,,1,NUpath Natural/Designed World,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit Analysis for Managers and Advisors,Lecture,Accounting,2301,02,4,30390,"Wednesday,Friday",S,W,M,F,F,T,T,11:45 AM - 01:25 PM,11,45,01,25,Type: Class,Building: Kariotis Hall,Room: 309,Start Date: 01/06/2025,End Date: 04/15/2025,Friday,S,S,M,T,W,T,S,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Type:,Building: Snell Library,Building:,Room: 039,Room:,Start Date: 04/18/2025,Start Date:,End Date: 04/18/2025,End Date:,Boston,,1,NUpath Natural/Designed World,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit Analysis for Managers and Advisors,Lecture,Accounting,2301,03,4,30389,"Monday,Wednesday",S,M,T,W,F,T,F,02:50 PM - 04:30 PM,02,50,04,30,Type: Class,Building: Robinson Hall,Room: 411,Start Date: 01/06/2025,End Date: 04/15/2025,Friday,S,S,M,T,W,T,S,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 105,Room:,Start Date: 04/18/2025,Start Date:,End Date: 04/18/2025,End Date:,Boston,FULL: 0 of 42 seats remain.,FULL,NUpath Natural/Designed World,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit Analysis for Managers and Advisors,Lecture,Accounting,2301,04,4,30388,"Tuesday,Friday",S,T,M,F,F,W,T,01:35 PM - 03:15 PM,01,35,03,15,Type: Class,Building: Hastings Suite,Room: 211,Start Date: 01/06/2025,End Date: 04/15/2025,Friday,S,S,M,T,W,T,S,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Type:,Building: Science Engineering Complex,Building:,Room: 102,Room:,Start Date: 04/18/2025,Start Date:,End Date: 04/18/2025,End Date:,Boston,,1,NUpath Natural/Designed World,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit Analysis for Managers and Advisors,Lecture,Accounting,2301,05,4,30387,"Tuesday,Friday",S,T,M,F,F,W,T,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Building: Forsyth Building,Room: 236,Start Date: 01/06/2025,End Date: 04/15/2025,Friday,S,S,M,T,W,T,S,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Type:,Building: Churchill Hall,Building:,Room: 101,Room:,Start Date: 04/18/2025,Start Date:,End Date: 04/18/2025,End Date:,Boston,FULL: 0 of 34 seats remain.,FULL,NUpath Natural/Designed World,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit Analysis for Managers and Advisors,Lecture,Accounting,2301,06,4,30271,"Tuesday,Friday",S,T,M,F,F,W,T,03:25 PM - 05:05 PM,03,25,05,05,Type: Class,Building: Hastings Suite,Room: 211,Start Date: 01/06/2025,End Date: 04/15/2025,Friday,S,S,M,T,W,T,S,03:30 PM - 05:30 PM,03,30,05,30,Type: Final Exam,Type:,Building: Science Engineering Complex,Building:,Room: 102,Room:,Start Date: 04/18/2025,Start Date:,End Date: 04/18/2025,End Date:,Boston,,1,NUpath Natural/Designed World,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
