section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row (3),tooltip-row (5),tooltip-row (7),tooltip-row (9),readonly (7),readonly (8),status-bold,status-bold (2),readonly (9),readonly (10),readonly (11),meeting (2),meeting (3),meeting (4),meeting (5),status-full,status-waitlist,ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),ui-pillbox-summary (3),ui-state-default (15),ui-state-default (16),ui-state-default (17),ui-state-default (18),ui-state-default (19),ui-state-default (20),ui-state-default (21),meeting (11),meeting (12),meeting (13),meeting (14),meeting (15),tooltip-row (21),tooltip-row (22),tooltip-row (23),tooltip-row (24),tooltip-row (25),tooltip-row (26),tooltip-row (27),tooltip-row (28),tooltip-row (29),tooltip-row (30),ui-pillbox-summary (4),ui-state-default (22),ui-state-default (23),ui-state-default (24),ui-state-default (25),ui-state-default (26),ui-state-default (27),ui-state-default (28),meeting (16),meeting (17),meeting (18),meeting (19),meeting (20),tooltip-row (31),tooltip-row (32),tooltip-row (33),tooltip-row (34),tooltip-row (35),tooltip-row (36),tooltip-row (37),tooltip-row (38),tooltip-row (39),tooltip-row (40),ui-pillbox-summary (5),ui-state-default (29),ui-state-default (30),ui-state-default (31),ui-state-default (32),ui-state-default (33),ui-state-default (34),meeting (21),meeting (22),meeting (23),meeting (24),meeting (25),tooltip-row (41),tooltip-row (42),tooltip-row (43),tooltip-row (44),tooltip-row (45),tooltip-row (46),tooltip-row (47),tooltip-row (48),tooltip-row (49),tooltip-row (50),ui-pillbox-summary (6),ui-state-default (36),ui-state-default (37),ui-state-default (38),ui-state-default (39),ui-state-default (40),ui-state-default (41),meeting (26),meeting (27),meeting (28),meeting (29),meeting (30),tooltip-row (51),tooltip-row (52),tooltip-row (53),tooltip-row (54),tooltip-row (55),tooltip-row (56),tooltip-row (57),tooltip-row (58),tooltip-row (59),tooltip-row (60),readonly (12)
Introduction to Analytics,Lecture,Analytics - CPS,6000,28,3,20829,Tuesday,S,M,W,T,F,S,T,06:00 PM - 08:40 PM,Building: West Georgia,Room: 1426,Start Date: 01/06/2025,End Date: 02/15/2025,"Vancouver, Canada","23 of 30 seats remain.
10 of 10 waitlist seats remain.",23,10,CPS-Professional Programs GR 2,CPS Digital Badge,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Analytics,Lecture,Analytics - CPS,6000,31,3,21010,Monday,S,T,W,T,F,S,M,05:50 PM - 08:30 PM,Building: Dodge Hall,Room: 330,Start Date: 01/06/2025,End Date: 02/15/2025,Boston,"8 of 30 seats remain.
10 of 10 waitlist seats remain.",8,10,CPS-Professional Programs GR 2,CPS Digital Badge,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Analytics,Lecture,Analytics - CPS,6000,32,3,21042,Tuesday,S,M,W,T,F,S,T,03:00 PM - 05:40 PM,"Building: 375 Queen Street, Toronto",Room: 606,Start Date: 01/06/2025,End Date: 02/15/2025,"Toronto, Canada",10 of 30 seats remain.,10,,CPS-Professional Programs GR 2,CPS Digital Badge,,03,00,05,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Analytics,Lecture,Analytics - CPS,6000,33,3,21043,Monday,S,T,W,T,F,S,M,06:00 PM - 08:40 PM,"Building: 375 Queen Street, Toronto",Room: 606,Start Date: 01/06/2025,End Date: 02/15/2025,"Toronto, Canada",7 of 30 seats remain.,7,,CPS-Professional Programs GR 2,CPS Digital Badge,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Analytics,Lecture,Analytics - CPS,6000,34,3,21056,Thursday,S,M,T,W,F,S,T,06:00 PM - 08:40 PM,"Building: 375 Queen Street, Toronto",Room: 605,Start Date: 01/06/2025,End Date: 02/15/2025,"Toronto, Canada",19 of 30 seats remain.,19,,CPS-Professional Programs GR 2,CPS Digital Badge,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Analytics,Lecture,Analytics - CPS,6000,36,3,21390,Saturday,S,M,T,W,T,F,S,01:00 PM - 03:40 PM,Building: West Georgia,Room: 1515,Start Date: 01/06/2025,End Date: 02/15/2025,"Vancouver, Canada","18 of 30 seats remain.
10 of 10 waitlist seats remain.",18,10,CPS-Professional Programs GR 2,CPS Digital Badge,,01,00,03,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Analytics,Lecture,Analytics - CPS,6000,37,3,21466,Monday,S,T,W,T,F,S,M,12:00 PM - 02:40 PM,"Building: 375 Queen Street, Toronto",Room: 605,Start Date: 01/06/2025,End Date: 02/15/2025,"Toronto, Canada",7 of 30 seats remain.,7,,CPS-Professional Programs GR 2,CPS Digital Badge,,12,00,02,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Analytics,Lecture,Analytics - CPS,6000,40,3,21557,Monday,S,T,W,T,F,S,M,06:00 PM - 08:40 PM,Building: Roux Institute 100 Fore St.,Room: 204,Start Date: 01/06/2025,End Date: 02/15/2025,"Portland, Maine","19 of 32 seats remain.
10 of 10 waitlist seats remain.",19,10,CPS-Professional Programs GR 2,CPS Digital Badge,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Analytics,Lecture,Analytics - CPS,6000,51,3,21682,Thursday,S,M,T,W,F,S,T,06:00 PM - 08:40 PM,Building: Northeastern Arlington Tower,Room: 1530,Start Date: 01/06/2025,End Date: 02/15/2025,"Arlington, VA","19 of 24 seats remain.
10 of 10 waitlist seats remain.",19,10,CPS-Professional Programs GR 2,CPS Digital Badge,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability Theory and Introductory Statistics,Lecture,Analytics - CPS,6010,01,3,20215,Tuesday,S,M,W,T,F,S,T,05:50 PM - 08:30 PM,Building: 89 Broad Street,Room: 237,Start Date: 02/18/2025,End Date: 03/29/2025,Boston,"4 of 30 seats remain.
10 of 10 waitlist seats remain.",4,10,CPS-Professional Programs GR 2,,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability Theory and Introductory Statistics,Lecture,Analytics - CPS,6010,02,3,20270,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 02/18/2025,End Date: 03/29/2025,Online,"26 of 30 seats remain.
10 of 10 waitlist seats remain.",26,10,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability Theory and Introductory Statistics,Lecture,Analytics - CPS,6010,03,3,20318,Wednesday,S,M,T,T,F,S,W,05:50 PM - 08:30 PM,Building: Forsyth Building,Room: 151,Start Date: 02/18/2025,End Date: 03/29/2025,Boston,"18 of 30 seats remain.
10 of 10 waitlist seats remain.",18,10,CPS-Professional Programs GR 2,,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability Theory and Introductory Statistics,Lecture,Analytics - CPS,6010,04,3,20377,Tuesday,S,M,W,T,F,S,T,05:50 PM - 08:30 PM,Building: Churchill Hall,Room: 103,Start Date: 02/18/2025,End Date: 03/29/2025,Boston,"11 of 30 seats remain.
10 of 10 waitlist seats remain.",11,10,CPS-Professional Programs GR 2,,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability Theory and Introductory Statistics,Lecture,Analytics - CPS,6010,12,3,20615,Monday,S,T,W,T,F,S,M,06:00 PM - 08:40 PM,Building: Roux Institute 100 Fore St.,Room: 136,Start Date: 02/18/2025,End Date: 03/29/2025,"Portland, Maine","10 of 32 seats remain.
10 of 10 waitlist seats remain.",10,10,Roux Institute,Hybrid NUflex Section,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability Theory and Introductory Statistics,Lecture,Analytics - CPS,6010,13,3,20637,Monday,S,T,W,T,F,S,M,05:50 PM - 08:30 PM,Building: Snell Library,Room: 119,Start Date: 02/18/2025,End Date: 03/29/2025,Boston,"11 of 30 seats remain.
10 of 10 waitlist seats remain.",11,10,CPS-Professional Programs GR 2,,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability Theory and Introductory Statistics,Lecture,Analytics - CPS,6010,16,3,20646,Wednesday,S,M,T,T,F,S,W,06:00 PM - 08:40 PM,Building: 401 Terry Ave,Room: 143,Start Date: 02/18/2025,End Date: 03/29/2025,"Seattle, WA","4 of 5 seats remain.
1 of 1 waitlist seats remain.",4,1,Seattle CPS-Prof Prog Grad 2,,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability Theory and Introductory Statistics,Lecture,Analytics - CPS,6010,17,3,20647,Wednesday,S,M,T,T,F,S,W,06:00 PM - 08:40 PM,Building: Northeastern San Jose,Room: 1045,Start Date: 02/18/2025,End Date: 03/29/2025,"Silicon Valley, CA","25 of 30 seats remain.
10 of 10 waitlist seats remain.",25,10,CPS-Professional Programs GR 2,,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability Theory and Introductory Statistics,Lecture,Analytics - CPS,6010,18,3,20696,Thursday,S,M,T,W,F,S,T,12:00 PM - 02:40 PM,"Building: 375 Queen Street, Toronto",Room: 606,Start Date: 02/18/2025,End Date: 03/29/2025,"Toronto, Canada",14 of 30 seats remain.,14,,CPS-Professional Programs GR 2,,,12,00,02,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability Theory and Introductory Statistics,Lecture,Analytics - CPS,6010,25,3,20830,Monday,S,T,W,T,F,S,M,06:00 PM - 08:40 PM,Building: West Georgia,Room: 1426,Start Date: 02/18/2025,End Date: 03/29/2025,"Vancouver, Canada","18 of 30 seats remain.
10 of 10 waitlist seats remain.",18,10,CPS-Professional Programs GR 2,,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability Theory and Introductory Statistics,Lecture,Analytics - CPS,6010,26,3,20831,Tuesday,S,M,W,T,F,S,T,06:00 PM - 08:40 PM,Building: West Georgia,Room: 1426,Start Date: 02/18/2025,End Date: 03/29/2025,"Vancouver, Canada","26 of 30 seats remain.
10 of 10 waitlist seats remain.",26,10,CPS-Professional Programs GR 2,,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability Theory and Introductory Statistics,Lecture,Analytics - CPS,6010,30,3,21020,Wednesday,S,M,T,T,F,S,W,03:00 PM - 05:40 PM,Building: West Georgia,Room: 1515,Start Date: 02/18/2025,End Date: 03/29/2025,"Vancouver, Canada","23 of 30 seats remain.
10 of 10 waitlist seats remain.",23,10,CPS-Professional Programs GR 2,,,03,00,05,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability Theory and Introductory Statistics,Lecture,Analytics - CPS,6010,32,3,21059,Tuesday,S,M,W,T,F,S,T,12:00 PM - 02:40 PM,"Building: 375 Queen Street, Toronto",Room: 606,Start Date: 02/18/2025,End Date: 03/29/2025,"Toronto, Canada",9 of 30 seats remain.,9,,Toronto program eligible,CPS-Professional Programs GR 2,,12,00,02,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability Theory and Introductory Statistics,Lecture,Analytics - CPS,6010,34,3,21285,Thursday,S,M,T,W,F,S,T,05:50 PM - 08:30 PM,Building: Richards Hall,Room: 231,Start Date: 01/06/2025,End Date: 02/15/2025,Boston,"22 of 30 seats remain.
10 of 10 waitlist seats remain.",22,10,CPS-Professional Programs GR 2,,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability Theory and Introductory Statistics,Lecture,Analytics - CPS,6010,36,3,21391,Saturday,S,M,T,W,T,F,S,01:00 PM - 03:40 PM,Building: West Georgia,Room: 1515,Start Date: 02/18/2025,End Date: 03/29/2025,"Vancouver, Canada","18 of 30 seats remain.
10 of 10 waitlist seats remain.",18,10,CPS-Professional Programs GR 2,,,01,00,03,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability Theory and Introductory Statistics,Lecture,Analytics - CPS,6010,48,3,21683,Thursday,S,M,T,W,F,S,T,06:00 PM - 08:40 PM,Building: Northeastern Arlington Tower,Room: 1530,Start Date: 02/18/2025,End Date: 03/29/2025,"Arlington, VA","19 of 24 seats remain.
10 of 10 waitlist seats remain.",19,10,CPS-Professional Programs GR 2,,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Analytics,Lecture,Analytics - CPS,6015,01,3,20495,Monday,S,T,W,T,F,S,M,05:50 PM - 08:30 PM,Building: Dodge Hall,Room: 070,Start Date: 01/06/2025,End Date: 02/15/2025,Boston,"20 of 30 seats remain.
10 of 10 waitlist seats remain.",20,10,CPS-Professional Programs GR 2,,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Analytics,Lecture,Analytics - CPS,6015,02,3,20273,Tuesday,S,M,W,T,F,S,T,05:50 PM - 08:30 PM,Building: Richards Hall,Room: 254,Start Date: 02/18/2025,End Date: 03/29/2025,Boston,"23 of 30 seats remain.
10 of 10 waitlist seats remain.",23,10,CPS-Professional Programs GR 2,,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Analytics,Lecture,Analytics - CPS,6015,03,3,20305,Thursday,S,M,T,W,F,S,T,05:50 PM - 08:30 PM,Building: Dodge Hall,Room: 470,Start Date: 01/06/2025,End Date: 02/15/2025,Boston,"2 of 30 seats remain.
10 of 10 waitlist seats remain.",2,10,CPS-Professional Programs GR 2,,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Analytics,Lecture,Analytics - CPS,6015,06,3,20325,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/15/2025,Online,"19 of 30 seats remain.
10 of 10 waitlist seats remain.",19,10,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
