section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default (2),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,meeting (2),meeting (3),meeting (4),meeting (5),tooltip-row,tooltip-row (3),tooltip-row (5),tooltip-row (7),tooltip-row (9),readonly (7),readonly (8),status-bold,readonly (9),status-full,readonly (10),readonly (11),status-bold (2),status-waitlist,readonly (12),readonly (13),status-bold (3),readonly (14),readonly (15),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),ui-state-default (18),ui-state-default (25)
Profit Analysis for Managers and Advisors,Lecture,Accounting,2301,02,4,40096,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,01:30 PM - 03:10 PM,01,30,03,10,Type: Class,Building: Dodge Hall,Room: 070,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,,FULL,NUpath Natural/Designed World,FULL: 0 of 40 seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit Analysis for Managers and Advisors,Lecture,Accounting,2301,03,4,40234,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Building: Shillman Hall,Room: 210,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,,FULL,NUpath Natural/Designed World,FULL: 0 of 40 seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit Analysis for Managers and Advisors,Lecture,Accounting,2301,04,4,40980,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,11:40 AM - 01:20 PM,11,40,01,20,Type: Class,Building: Hastings Suite,Room: 201,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,2 of 40 seats remain.,2,NUpath Natural/Designed World,,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit Analysis for Managers and Advisors,Lecture,Accounting,2301,05,4,41412,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NUpath Natural/Designed World,FULL: 0 of 41 seats remain.,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting and Analysis 1,Lecture,Accounting,3401,01,4,41543,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,01:30 PM - 03:10 PM,01,30,03,10,Type: Class,Building: Dodge Hall,Room: 170,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,16 of 40 seats remain.,16,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auditing and Other Assurance Services,Lecture,Accounting,4412,01,4,41985,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Building: Dodge Hall,Room: 270,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,7 of 40 seats remain.,7,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting and Managerial Decision Making 2,Lecture,Accounting,6201,01,1.5,40078,Monday,M,W,T,F,S,05:20 PM - 07:20 PM,05,20,07,20,Type: Class,Building: Snell Library,Room: 005,Start Date: 05/05/2025,End Date: 06/28/2025,Boston,23 of 40 seats remain.,23,GSBA Business Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Entity Taxation,Lecture,Accounting,6203,02,3,40757,"Monday,Tuesday,Thursday",M,W,T,F,S,11:40 AM - 01:40 PM,11,40,01,40,Type: Class,Building: Snell Library,Room: 005,Start Date: 05/05/2025,End Date: 06/28/2025,Boston,33 of 40 seats remain.,33,GSBA Professional Accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contemporary and Emerging Issues in Financial Reporting,Lecture,Accounting,6207,01,3,40073,"Monday,Tuesday,Thursday",M,W,T,F,S,03:20 PM - 05:20 PM,03,20,05,20,Type: Class,Building: Knowles Center,Room: 002B,Start Date: 05/05/2025,End Date: 06/28/2025,Boston,33 of 40 seats remain.,33,GSBA Business Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corporate Governance, Ethics, and Financial Reporting",Lecture,Accounting,6217,01,3,40689,"Tuesday,Thursday",M,W,T,F,S,08:00 AM - 10:30 AM,08,00,10,30,Type: Class,Building: Forsyth Building,Room: 235,Start Date: 05/05/2025,End Date: 06/28/2025,Boston,35 of 35 seats remain.,35,GSBA Professional Accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corporate Governance, Ethics, and Financial Reporting",Lecture,Accounting,6217,02,3,42288,"Tuesday,Thursday",M,W,T,F,S,11:40 AM - 02:10 PM,11,40,02,10,Type: Class,Building: Forsyth Building,Room: 129,Start Date: 05/05/2025,End Date: 06/28/2025,Boston,35 of 35 seats remain.,35,GSBA Professional Accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate Financial Reporting and Decision Making 1,Lecture,Accounting,6220,02,3,41702,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,11:40 AM - 02:10 PM,11,40,02,10,Type: Class,Building: West Village H,Room: 108,Start Date: 05/05/2025,End Date: 06/28/2025,Boston,54 of 54 seats remain.,54,GSBA Professional Accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contemporary Issues in Accounting Theory,Lecture,Accounting,6228,01,3,42269,"Tuesday,Thursday",M,W,T,F,S,08:00 AM - 10:00 AM,08,00,10,00,Type: Class,Building: Snell Library,Room: 125,Start Date: 05/05/2025,End Date: 06/28/2025,Boston,30 of 30 seats remain.,30,GSBA Professional Accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contemporary Issues in Accounting Theory,Lecture,Accounting,6228,02,3,42289,"Tuesday,Thursday",M,W,T,F,S,11:40 AM - 01:40 PM,11,40,01,40,Type: Class,Building: Snell Library,Room: 015,Start Date: 05/05/2025,End Date: 06/28/2025,Boston,35 of 35 seats remain.,35,GSBA Professional Accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting for Foreign Currency Transactions,Lecture,Accounting,6229,02,1,40776,Wednesday,M,W,T,F,S,03:10 PM - 05:10 PM,03,10,05,10,Type: Class,Building: Snell Library,Room: 005,Start Date: 05/05/2025,End Date: 06/28/2025,Boston,33 of 40 seats remain.,33,GSBA Business Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Global Health,Lecture,Africana Studies,1270,01,4,42053,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NUpath Societies/Institutions,FULL: 0 of 16 seats remain.,NU Accelerate Program Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Swahili, Culture, and Politics in Kenya",Off-campus instruction,Africana Studies,2900,01,4,42025,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,30 of 35 seats remain.,30,NU Core Comp Stdy of Cultures,,NUpath Integration Experience,Faculty Led Study Abroad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elementary ASL 1,Lecture,American Sign Language,1101,01,4,40790,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Building: Ryder Hall,Room: 271,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,"7 of 15 seats remain.
12 of 12 waitlist seats remain.",7,UG Col Socl Sci & Humanities,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elementary ASL 1,Lecture,American Sign Language,1101,02,4,41587,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,11:40 AM - 01:20 PM,11,40,01,20,Type: Class,Building: Virtual Space- Online class,Room: ROOM,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,UG Col Socl Sci & Humanities,FULL: 0 of 18 seats remain.,,,11,11 of 12 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elementary ASL 2,Lecture,American Sign Language,1102,01,4,40791,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Building: Virtual Space- Online class,Room: ROOM,Start Date: 05/05/2025,End Date: 06/18/2025,Online,"2 of 16 seats remain.
12 of 12 waitlist seats remain.",2,UG Col Socl Sci & Humanities,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peoples and Cultures,Lecture,Anthropology,1101,01,4,41883,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core Comp Stdy of Cultures,FULL: 0 of 30 seats remain.,NUpath Interpreting Culture,NU Core Social Science Lvl 1,0,0 of 5 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundamental Architectural Design,Studio,Architecture,1120,01,6,40983,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,01:30 PM - 05:00 PM,01,30,05,00,Type: Class,Building: Virtual Space- Online class,Room: ROOM,Start Date: 05/05/2025,End Date: 06/18/2025,Online,17 of 20 seats remain.,17,NUpath Creative Express/Innov,,NUpath Natural/Designed World,"UG Col of Arts, Media & Design",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buildings and Cities, A Global History",Lecture,Architecture,1310,01,4,40655,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,231 of 350 seats remain.,231,NU Core Comp Stdy of Cultures,,NUpath Difference/Diversity,NUpath Interpreting Culture,,,NU Accelerate Program Course,"UG Col of Arts, Media & Design",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recitation for ARCH 1310,Recitation/Discussion,Architecture,1311,01,0,41614,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,"No campus, no room needed",225 of 350 seats remain.,225,No Course Evaluation,,NU Accelerate Program Course,"UG Col of Arts, Media & Design",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everyday Landscapes,Lecture,Architecture,2370,01,4,40984,"Tuesday,Thursday",M,W,T,F,S,01:00 PM - 04:30 PM,01,00,04,30,Type: Class,Building: Virtual Space- Online class,Room: ROOM,Start Date: 05/05/2025,End Date: 06/18/2025,Online,12 of 32 seats remain.,12,NUpath Writing Intensive,,Topics Course,"UG Col of Arts, Media & Design",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topics in Architectural History,Lecture,Architecture,2370,02,4,41613,"Tuesday,Thursday",M,W,T,F,S,01:00 PM - 04:30 PM,01,00,04,30,Type: Class,Building: Virtual Space- Online class,Room: ROOM,Start Date: 05/05/2025,End Date: 06/18/2025,Online,6 of 12 seats remain.,6,NUpath Writing Intensive,,Topics Course,"UG Col of Arts, Media & Design",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Architectural Communication,Lab,Architecture,3450,01,4,41463,"Tuesday,Thursday",M,W,T,F,S,08:00 AM - 11:30 AM,08,00,11,30,Type: Class,Building: Virtual Space- Online class,Room: ROOM,Start Date: 05/05/2025,End Date: 06/18/2025,Online,15 of 24 seats remain.,15,NUpath Analyzing/Using Data,,NUpath Natural/Designed World,"UG Col of Arts, Media & Design",,,Ryder Hall Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Army Doctrine and Team Development,Lecture,Army ROTC,2202,01,3,41780,"Tuesday,Friday",M,W,T,S,F,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Building: West Village F,Room: 116,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,4 of 5 seats remain.,4,No Course Evaluation,,ROTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Army Officer,Lecture,Army ROTC,4011,01,4,41085,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,01:30 PM - 03:10 PM,01,30,03,10,Type: Class,Building: Ryder Hall,Room: 145,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,4 of 5 seats remain.,4,No Course Evaluation,,ROTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mission Command and the Company Grade Officer,Lecture,Army ROTC,4012,01,4,42265,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,01:30 PM - 03:10 PM,01,30,03,10,Type: Class,Building: Snell Library,Room: 045,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,9 of 10 seats remain.,9,No Course Evaluation,,ROTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typographic Systems,Lecture,Art - Design,1290,01,2,41303,"Monday,Wednesday",M,W,T,F,S,01:30 PM - 03:10 PM,01,30,03,10,Type: Class,Building: Hayden Hall,Room: 222,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,"5 of 28 seats remain.
6 of 6 waitlist seats remain.",5,"UG Col of Arts, Media & Design",,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studio for Typographic Systems,Studio,Art - Design,1291,01,2,41428,"Monday,Wednesday",M,W,T,F,S,03:20 PM - 05:00 PM,03,20,05,00,Type: Class,Building: Ryder Hall,Room: 303,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,,FULL,"UG Col of Arts, Media & Design",FULL: 0 of 14 seats remain.,,,5,5 of 6 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studio for Typographic Systems,Studio,Art - Design,1291,02,2,41429,"Monday,Wednesday",M,W,T,F,S,03:20 PM - 05:00 PM,03,20,05,00,Type: Class,Building: Ryder Hall,Room: 427,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,"5 of 14 seats remain.
6 of 6 waitlist seats remain.",5,"UG Col of Arts, Media & Design",,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Design Principles,Studio,Art - Design,2242,01,4,41304,"Tuesday,Thursday",M,W,T,F,S,08:00 AM - 11:30 AM,08,00,11,30,Type: Class,Building: Ryder Hall,Room: 427,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,,FULL,"UG Col of Arts, Media & Design",FULL: 0 of 16 seats remain.,,,5,5 of 6 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graphic Design Principles,Studio,Art - Design,2252,01,4,40097,"Tuesday,Thursday",M,W,T,F,S,01:30 PM - 05:00 PM,01,30,05,00,Type: Class,Building: Ryder Hall,Room: 399,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,"6 of 16 seats remain.
6 of 6 waitlist seats remain.",6,NUpath Creative Express/Innov,,"UG Col of Arts, Media & Design",Ryder Hall Access,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graphic Design Principles,Studio,Art - Design,2252,02,4,40690,"Tuesday,Thursday",M,W,T,F,S,01:30 PM - 05:00 PM,01,30,05,00,Type: Class,Building: Virtual Space- Online class,Room: ROOM,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NUpath Creative Express/Innov,FULL: 0 of 16 seats remain.,"UG Col of Arts, Media & Design",Ryder Hall Access,2,2 of 6 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interaction Design Principles,Seminar,Art - Design,2400,01,4,41443,"Tuesday,Thursday",M,W,T,F,S,01:30 PM - 05:00 PM,01,30,05,00,Type: Class,Building: Virtual Space- Online class,Room: ROOM,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,NU Core Math/Anly Think Lvl 2,FULL: 0 of 16 seats remain.,"UG Col of Arts, Media & Design",Ryder Hall Access,6,6 of 6 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interaction Design Principles Tools,Studio,Art - Design,2401,01,1,41454,"Tuesday,Thursday",M,W,T,F,S,05:15 PM - 06:20 PM,05,15,06,20,Type: Class,Building: Virtual Space- Online class,Room: ROOM,Start Date: 05/05/2025,End Date: 06/18/2025,Online,"8 of 16 seats remain.
6 of 6 waitlist seats remain.",8,"UG Col of Arts, Media & Design",,Ryder Hall Access,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typography 2,Studio,Art - Design,3350,01,4,40775,"Monday,Wednesday",M,W,T,F,S,08:00 AM - 11:30 AM,08,00,11,30,Type: Class,Building: Ryder Hall,Room: 427,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,"4 of 16 seats remain.
6 of 6 waitlist seats remain.",4,NUpath Creative Express/Innov,,"UG Col of Arts, Media & Design",Ryder Hall Access,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topics In Graphic Design Inquiry,Studio,Art - Design,3452,01,4,41305,"Monday,Wednesday",M,W,T,F,S,01:30 PM - 05:00 PM,01,30,05,00,Type: Class,Building: Virtual Space- Online class,Room: ROOM,Start Date: 05/05/2025,End Date: 06/18/2025,Online,"5 of 16 seats remain.
6 of 6 waitlist seats remain.",5,Topics Course,,"UG Col of Arts, Media & Design",,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experience Design Principles,Studio,Art - Design,3462,01,4,41057,"Tuesday,Thursday",M,W,T,F,S,01:30 PM - 05:00 PM,01,30,05,00,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,"10 of 16 seats remain.
6 of 6 waitlist seats remain.",10,"UG Col of Arts, Media & Design",,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Visualization Principles and Practices,Lecture,Art - Design,5150,40,3,41969,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,Online,,FULL,"GS Col of Arts, Media & Design",FULL: 0 of 18 seats remain.,,,4,4 of 6 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Design Critique Seminar,Seminar,Art - Design,5151,01,1,41970,Thursday,M,W,T,F,S,01:00 PM - 03:00 PM,01,00,03,00,Type: Class,Building: Virtual Space- Online class,Room: ROOM,Start Date: 05/05/2025,End Date: 06/28/2025,Online,"11 of 16 seats remain.
6 of 6 waitlist seats remain.",11,"GS Col of Arts, Media & Design",,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Representational Drawing,Studio,Art - Fundamentals,1200,01,2,41950,"Monday,Wednesday",M,W,T,F,S,01:30 PM - 03:10 PM,01,30,03,10,Type: Class,Building: Ryder Hall,Room: 403,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,"3 of 14 seats remain.
6 of 6 waitlist seats remain.",3,NUpath Creative Express/Innov,,"UG Col of Arts, Media & Design",,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Representational Drawing,Studio,Art - Fundamentals,1200,02,2,41951,"Monday,Wednesday",M,W,T,F,S,03:20 PM - 05:00 PM,03,20,05,00,Type: Class,Building: Ryder Hall,Room: 403,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,,FULL,NUpath Creative Express/Innov,FULL: 0 of 14 seats remain.,"UG Col of Arts, Media & Design",,6,6 of 6 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abstract Drawing,Studio,Art - Fundamentals,1210,01,2,41952,"Monday,Wednesday",M,W,T,F,S,08:00 AM - 09:30 AM,08,00,09,30,Type: Class,Building: Ryder Hall,Room: 403,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,"8 of 14 seats remain.
6 of 6 waitlist seats remain.",8,NUpath Creative Express/Innov,,"UG Col of Arts, Media & Design",,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abstract Drawing,Studio,Art - Fundamentals,1210,02,2,41953,"Monday,Wednesday",M,W,T,F,S,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Building: Ryder Hall,Room: 403,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,"1 of 14 seats remain.
6 of 6 waitlist seats remain.",1,NUpath Creative Express/Innov,,"UG Col of Arts, Media & Design",,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elements of Visual Composition,Studio,Art - Fundamentals,1220,01,2,41954,"Tuesday,Thursday",M,W,T,F,S,08:00 AM - 09:40 AM,08,00,09,40,Type: Class,Building: Ryder Hall,Room: 403,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,"8 of 14 seats remain.
6 of 6 waitlist seats remain.",8,NUpath Creative Express/Innov,,"UG Col of Arts, Media & Design",,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elements of Visual Composition,Studio,Art - Fundamentals,1220,03,2,41956,"Tuesday,Thursday",M,W,T,F,S,01:30 PM - 03:10 PM,01,30,03,10,Type: Class,Building: Ryder Hall,Room: 403,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,"5 of 14 seats remain.
6 of 6 waitlist seats remain.",5,NUpath Creative Express/Innov,,"UG Col of Arts, Media & Design",,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Making with Form and Materials,Studio,Art - Fundamentals,1230,01,2,41959,"Tuesday,Thursday",M,W,T,F,S,01:30 PM - 03:10 PM,01,30,03,10,Type: Class,Building: Ryder Hall,Room: 405,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,"5 of 14 seats remain.
6 of 6 waitlist seats remain.",5,NUpath Creative Express/Innov,,"UG Col of Arts, Media & Design",,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Making with Form and Materials Tools,Studio,Art - Fundamentals,1231,01,0,41961,"Tuesday,Thursday",M,W,T,F,S,11:40 AM - 01:20 PM,11,40,01,20,Type: Class,Building: Ryder Hall,Room: 405,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,"5 of 14 seats remain.
6 of 6 waitlist seats remain.",5,"UG Col of Arts, Media & Design",,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Making with Video, Sound, and Animation",Studio,Art - Fundamentals,1240,01,2,41963,"Monday,Wednesday",M,W,T,F,S,01:30 PM - 03:10 PM,01,30,03,10,Type: Class,Building: Ryder Hall,Room: 399A,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,"2 of 14 seats remain.
6 of 6 waitlist seats remain.",2,NUpath Creative Express/Innov,,"UG Col of Arts, Media & Design",,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Making with Video, Sound, and Animation Tools",Lab,Art - Fundamentals,1241,01,0,41965,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,"15 of 28 seats remain.
6 of 6 waitlist seats remain.",15,"UG Col of Arts, Media & Design",,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
